Species name (Binomial),GARD id,Valid (June 2026),Order,sub-order,Family,year described,Major Realm (Falaschi et al. 2023 designation),points 18June2026,only type2,Insularity,mappable (>0 points),have elevation data,max length (SVL or TL),female length  (SVL or TL),male length  (SVL or TL),"newborn size (SVL, Total length or mass)",Activity time data,substrate data,Mode of reproduction data,brood size data,Diet data,Foraging mode data,Length of Activity Season data,Population density data,Home range size data,"Body temperature in activity, data",Preferred temperature metadata,CtMin data,CtMax data,Yearly broods data,breeding age (data),Longevity data,IUCN (April 2026; classifiable?),"trend (IUCN, Apr 2026)",genetic data,score
Ablepharus alaicus,R07070,yes,Squamata,Sauria,Scincidae,1901,Saharo-Sindian,152,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,15
Ablepharus anatolicus,R12384,yes,Squamata,Sauria,Scincidae,1997,Saharo-Sindian,45,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Ablepharus bivittatus,R06992,yes,Squamata,Sauria,Scincidae,1832,Saharo-Sindian,162,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,17
Ablepharus budaki,R06993,yes,Squamata,Sauria,Scincidae,1996,Saharo-Sindian,141,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14
Ablepharus capitaneus,R08242,yes,Squamata,Sauria,Scincidae,1986,Oriental,4,no,mainland,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
Ablepharus chernovi,R06994,yes,Squamata,Sauria,Scincidae,1953,Saharo-Sindian,86,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,15
Ablepharus darvazi,R06995,yes,Squamata,Sauria,Scincidae,1990,Saharo-Sindian,10,no,mainland,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Ablepharus deserti,R06996,yes,Squamata,Sauria,Scincidae,1868,Saharo-Sindian,251,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,16
Ablepharus eremchenkoi,R07071,yes,Squamata,Sauria,Scincidae,1999,Saharo-Sindian,45,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,14
Ablepharus flammeus,R13507,yes,Squamata,Sauria,Scincidae,2025,Oriental,2,yes,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Ablepharus grayanus,R06997,yes,Squamata,Sauria,Scincidae,1872,Saharo-Sindian,37,no,mainland,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,12
Ablepharus himalayanus,R07072,yes,Squamata,Sauria,Scincidae,1864,Saharo-Sindian,28,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,15
Ablepharus kitaibelii,R06998,yes,Squamata,Sauria,Scincidae,1833,Saharo-Sindian,251,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,21
Ablepharus ladacensis,R07073,yes,Squamata,Sauria,Scincidae,1864,Oriental,23,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,15
Ablepharus lindbergi,R06999,yes,Squamata,Sauria,Scincidae,1960,Saharo-Sindian,12,no,mainland,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Ablepharus mahabharatus,R07074,yes,Squamata,Sauria,Scincidae,1998,Oriental,2,no,mainland,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
Ablepharus nepalensis,R07075,yes,Squamata,Sauria,Scincidae,1998,Oriental,1,yes,mainland,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Ablepharus pannonicus,R07000,yes,Squamata,Sauria,Scincidae,1824,Saharo-Sindian,135,no,mainland,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,18
Ablepharus rueppellii,R07001,yes,Squamata,Sauria,Scincidae,1839,Saharo-Sindian,624,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,17
Ablepharus sikimmensis,R07076,yes,Squamata,Sauria,Scincidae,1854,Oriental,52,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,17
Ablepharus tragbulensis,R07077,yes,Squamata,Sauria,Scincidae,1898,Saharo-Sindian,1,yes,mainland,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Ablepharus tuolinensis,R13505,yes,Squamata,Sauria,Scincidae,2025,Oriental,1,yes,mainland,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Abronia antauges,R00727,yes,Squamata,Sauria,Anguidae,1866,Neotropic,7,no,mainland,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Abronia anzuetoi,R00667,yes,Squamata,Sauria,Anguidae,1993,Neotropic,4,yes,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Abronia aurita,R00668,yes,Squamata,Sauria,Anguidae,1869,Neotropic,4,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Abronia bogerti,R00669,yes,Squamata,Sauria,Anguidae,1954,Neotropic,3,potentially,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Abronia campbelli,R00670,yes,Squamata,Sauria,Anguidae,1993,Neotropic,3,potentially,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Abronia chiszari,R00671,yes,Squamata,Sauria,Anguidae,1981,Neotropic,3,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Abronia cuchumatanus,R10750,yes,Squamata,Sauria,Anguidae,2016,Neotropic,16,no,mainland,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Abronia cuetzpali,R10247,yes,Squamata,Sauria,Anguidae,2016,Neotropic,9,no,mainland,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Abronia cunemica,R13027,yes,Squamata,Sauria,Anguidae,2024,Neotropic,2,yes,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Abronia deppii,R00672,yes,Squamata,Sauria,Anguidae,1828,Neotropic,19,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Abronia fimbriata,R00673,yes,Squamata,Sauria,Anguidae,1884,Neotropic,3,no,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Abronia frosti,R00674,yes,Squamata,Sauria,Anguidae,1998,Neotropic,1,yes,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Abronia fuscolabialis,R00675,yes,Squamata,Sauria,Anguidae,1944,Neotropic,6,no,mainland,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Abronia gadovii,R00728,yes,Squamata,Sauria,Anguidae,1913,Neotropic,43,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,20
Abronia gaiophantasma,R00676,yes,Squamata,Sauria,Anguidae,1993,Neotropic,11,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
Abronia graminea,R00677,yes,Squamata,Sauria,Anguidae,1864,Neotropic,45,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,21
Abronia juarezi,R00729,yes,Squamata,Sauria,Anguidae,1987,Neotropic,9,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,16
Abronia leurolepis,R00678,yes,Squamata,Sauria,Anguidae,1993,Neotropic,1,yes,mainland,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Abronia lythrochila,R00679,yes,Squamata,Sauria,Anguidae,1963,Neotropic,10,no,mainland,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Abronia martindelcampoi,R00680,yes,Squamata,Sauria,Anguidae,2003,Neotropic,12,no,mainland,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,11
Abronia matudai,R00681,yes,Squamata,Sauria,Anguidae,1946,Neotropic,11,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Abronia meledona,R00682,yes,Squamata,Sauria,Anguidae,1999,Neotropic,1,yes,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
Abronia mitchelli,R00683,yes,Squamata,Sauria,Anguidae,1982,Neotropic,1,yes,mainland,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Abronia mixteca,R00684,yes,Squamata,Sauria,Anguidae,1967,Neotropic,6,no,mainland,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12
Abronia montecristoi,R00685,yes,Squamata,Sauria,Anguidae,1983,Neotropic,4,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9
Abronia monticola,R00730,yes,Squamata,Sauria,Anguidae,1878,Neotropic,56,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,17
Abronia moreletii,R00731,yes,Squamata,Sauria,Anguidae,1872,Neotropic,93,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16
Abronia morenica,R12150,yes,Squamata,Sauria,Anguidae,2020,Neotropic,2,yes,mainland,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Abronia oaxacae,R00686,yes,Squamata,Sauria,Anguidae,1885,Neotropic,5,no,mainland,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Abronia ochoterenai,R00687,yes,Squamata,Sauria,Anguidae,1939,Neotropic,2,potentially,mainland,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Abronia ornelasi,R00688,yes,Squamata,Sauria,Anguidae,1984,Neotropic,1,yes,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Abronia ramirezi,R00689,yes,Squamata,Sauria,Anguidae,1994,Neotropic,1,yes,mainland,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Abronia reidi,R00690,yes,Squamata,Sauria,Anguidae,1961,Neotropic,2,no,mainland,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Abronia salvadorensis,R00691,yes,Squamata,Sauria,Anguidae,1983,Neotropic,10,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,9
Abronia smithi,R00692,yes,Squamata,Sauria,Anguidae,1993,Neotropic,5,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Abronia taeniata,R00693,yes,Squamata,Sauria,Anguidae,1828,Neotropic,57,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,19
Abronia vasconcelosii,R00694,yes,Squamata,Sauria,Anguidae,1871,Neotropic,3,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Abronia viridiflava,R00732,yes,Squamata,Sauria,Anguidae,1873,Neotropic,13,no,mainland,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Abronia zongolica,R12559,yes,Squamata,Sauria,Anguidae,2022,Neotropic,6,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
Acanthocercus adramitanus,R00030,yes,Squamata,Sauria,Agamidae,1896,Saharo-Sindian,33,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,14
Acanthocercus annectans,R10248,yes,Squamata,Sauria,Agamidae,1870,Afrotropic,29,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Acanthocercus atricollis,R00032,yes,Squamata,Sauria,Agamidae,1849,Afrotropic,742,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,19
Acanthocercus branchi,R00033,yes,Squamata,Sauria,Agamidae,2012,Afrotropic,90,no,mainland,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Acanthocercus ceriacoi,R12566,yes,Squamata,Sauria,Agamidae,2022,Afrotropic,19,no,mainland,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Acanthocercus cyanocephalus,R11154,yes,Squamata,Sauria,Agamidae,1925,Afrotropic,105,no,mainland,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Acanthocercus cyanogaster,R00034,yes,Squamata,Sauria,Agamidae,1835,Afrotropic,30,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,13
Acanthocercus gregorii,R11141,yes,Squamata,Sauria,Agamidae,1894,Afrotropic,135,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Acanthocercus guentherpetersi,R00035,yes,Squamata,Sauria,Agamidae,2006,Afrotropic,11,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10
Acanthocercus kiwuensis,R11147,yes,Squamata,Sauria,Agamidae,1957,Afrotropic,45,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Acanthocercus margaritae,R12514,yes,Squamata,Sauria,Agamidae,2021,Afrotropic,29,no,mainland,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Acanthocercus minutus,R11150,yes,Squamata,Sauria,Agamidae,1957,Afrotropic,47,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14
Acanthocercus phillipsii,R00036,yes,Squamata,Sauria,Agamidae,1895,Afrotropic,17,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
Acanthocercus ugandaensis,R11143,yes,Squamata,Sauria,Agamidae,1957,Afrotropic,88,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Acanthocercus yemensis,R00037,yes,Squamata,Sauria,Agamidae,1954,Saharo-Sindian,14,no,mainland,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,15
Acanthodactylus aegyptius,R05245,yes,Squamata,Sauria,Lacertidae,2007,Saharo-Sindian,138,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1,17
Acanthodactylus ahmaddisii,R05246,yes,Squamata,Sauria,Lacertidae,2004,Saharo-Sindian,1,yes,mainland,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
Acanthodactylus arabicus,R05247,yes,Squamata,Sauria,Lacertidae,1918,Saharo-Sindian,4,no,mainland,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8
Acanthodactylus aureus,R05248,yes,Squamata,Sauria,Lacertidae,1903,Saharo-Sindian,247,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Acanthodactylus bedriagai,R05249,yes,Squamata,Sauria,Lacertidae,1881,Saharo-Sindian,8,no,mainland,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Acanthodactylus beershebensis,R05250,yes,Squamata,Sauria,Lacertidae,1999,Saharo-Sindian,69,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,22
Acanthodactylus blanci,R05251,yes,Squamata,Sauria,Lacertidae,1901,Saharo-Sindian,6,no,mainland,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,10
Acanthodactylus blanfordii,R05252,yes,Squamata,Sauria,Lacertidae,1918,Saharo-Sindian,136,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,15
Acanthodactylus boskianus,R05253,yes,Squamata,Sauria,Lacertidae,1802,Saharo-Sindian,1025,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,23
Acanthodactylus boueti,R05254,yes,Squamata,Sauria,Lacertidae,1917,Afrotropic,5,no,mainland,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Acanthodactylus busacki,R05255,yes,Squamata,Sauria,Lacertidae,1982,Saharo-Sindian,81,no,mainland,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Acanthodactylus cantoris,R05256,yes,Squamata,Sauria,Lacertidae,1864,Saharo-Sindian,93,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,15
Acanthodactylus dumerilii,R05257,yes,Squamata,Sauria,Lacertidae,1829,Saharo-Sindian,133,no,mainland,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,17
Acanthodactylus erythrurus,R05258,yes,Squamata,Sauria,Lacertidae,1833,Palearctic,423,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,22
Acanthodactylus felicis,R05259,yes,Squamata,Sauria,Lacertidae,1980,Saharo-Sindian,21,no,mainland,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Acanthodactylus gongrorhynchatus,R05260,yes,Squamata,Sauria,Lacertidae,1967,Saharo-Sindian,40,no,mainland,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Acanthodactylus grandis,R05261,yes,Squamata,Sauria,Lacertidae,1909,Saharo-Sindian,52,no,mainland,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Acanthodactylus guineensis,R05262,yes,Squamata,Sauria,Lacertidae,1887,Afrotropic,48,no,mainland,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Acanthodactylus haasi,R05263,yes,Squamata,Sauria,Lacertidae,1967,Saharo-Sindian,14,no,mainland,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Acanthodactylus hardyi,R05264,yes,Squamata,Sauria,Lacertidae,1957,Saharo-Sindian,69,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Acanthodactylus harranensis,R05265,yes,Squamata,Sauria,Lacertidae,2005,Saharo-Sindian,5,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11
Acanthodactylus ilgazi,R12347,yes,Squamata,Sauria,Lacertidae,2021,Saharo-Sindian,1,yes,mainland,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Acanthodactylus khamirensis,R05266,yes,Squamata,Sauria,Lacertidae,2013,Saharo-Sindian,13,no,mainland,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Acanthodactylus lacrymae,R11979,yes,Squamata,Sauria,Lacertidae,2020,Saharo-Sindian,12,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Acanthodactylus longipes,R05268,yes,Squamata,Sauria,Lacertidae,1918,Saharo-Sindian,195,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,16
Acanthodactylus maculatus,R05269,yes,Squamata,Sauria,Lacertidae,1838,Saharo-Sindian,106,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,14
Acanthodactylus margaritae,R10249,yes,Squamata,Sauria,Lacertidae,2017,Saharo-Sindian,68,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Acanthodactylus masirae,R05270,yes,Squamata,Sauria,Lacertidae,1980,Saharo-Sindian,40,no,mainland,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,11
Acanthodactylus micropholis,R05271,yes,Squamata,Sauria,Lacertidae,1874,Saharo-Sindian,83,no,mainland,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Acanthodactylus montanus,R11980,yes,Squamata,Sauria,Lacertidae,2020,Saharo-Sindian,8,no,mainland,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Acanthodactylus nilsoni,R05272,yes,Squamata,Sauria,Lacertidae,1998,Saharo-Sindian,3,potentially,mainland,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Acanthodactylus opheodurus,R05273,yes,Squamata,Sauria,Lacertidae,1980,Saharo-Sindian,152,no,mainland,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,16
Acanthodactylus orientalis,R05274,yes,Squamata,Sauria,Lacertidae,1936,Saharo-Sindian,21,no,mainland,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9
Acanthodactylus pardalis,R05275,yes,Squamata,Sauria,Lacertidae,1823,Saharo-Sindian,34,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,20
Acanthodactylus robustus,R05276,yes,Squamata,Sauria,Lacertidae,1929,Saharo-Sindian,22,no,mainland,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Acanthodactylus savignyi,R05277,yes,Squamata,Sauria,Lacertidae,1827,Saharo-Sindian,4,no,mainland,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,12
Acanthodactylus schmidti,R05278,yes,Squamata,Sauria,Lacertidae,1957,Saharo-Sindian,381,no,mainland,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,17
Acanthodactylus schreiberi,R05279,yes,Squamata,Sauria,Lacertidae,1878,Saharo-Sindian,126,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,21
Acanthodactylus scutellatus,R05280,yes,Squamata,Sauria,Lacertidae,1827,Saharo-Sindian,373,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,22
Acanthodactylus spinicauda,R05282,yes,Squamata,Sauria,Lacertidae,1901,Saharo-Sindian,4,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,12
Acanthodactylus taghitensis,R05283,yes,Squamata,Sauria,Lacertidae,1995,Saharo-Sindian,17,no,mainland,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7
Acanthodactylus tilburyi,R05284,yes,Squamata,Sauria,Lacertidae,1986,Saharo-Sindian,7,no,mainland,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Acanthodactylus tristrami,R05285,yes,Squamata,Sauria,Lacertidae,1864,Saharo-Sindian,13,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Acanthodactylus yemenicus,R05286,yes,Squamata,Sauria,Lacertidae,1982,Saharo-Sindian,4,no,mainland,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
Acanthodactylus zagrosicus,R12465,yes,Squamata,Sauria,Lacertidae,2021,Saharo-Sindian,20,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Acanthophis antarcticus,R03377,yes,Squamata,Serpentes,Elapidae,1802,Australo-Pacific,579,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,18
Acanthophis cryptamydros,R10250,yes,Squamata,Serpentes,Elapidae,2015,Australo-Pacific,20,no,mainland,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,13
Acanthophis hawkei,R03378,yes,Squamata,Serpentes,Elapidae,1985,Australo-Pacific,24,no,mainland,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,14
Acanthophis laevis,R03379,yes,Squamata,Serpentes,Elapidae,1877,Australo-Pacific,20,no,insular endemic,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,15
Acanthophis praelongus,R03380,yes,Squamata,Serpentes,Elapidae,1877,Australo-Pacific,66,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,15
Acanthophis pyrrhus,R03381,yes,Squamata,Serpentes,Elapidae,1898,Australo-Pacific,91,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16
Acanthophis rugosus,R03382,yes,Squamata,Serpentes,Elapidae,1948,Australo-Pacific,61,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,16
